"Purposes for internet usage by individuals (per cent of total population within the corresponding group) by Breakdowns, Purposes and Time period"

"Breakdowns","Purposes","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Males","Using e-mail",24.8,32.2,41.1,47.1,50.1,52.8,54.6,.,62.2,63.4,62.6,68.0,67.6,67.1,67.3,70.6,73.3,78.2,76.1,80.7,78.9
"Males","Making calls (incl. video calls) over the Internet",3.6,8.9,16.1,20.2,27.2,32.3,35.9,42.4,45.1,45.8,41.7,41.4,39.2,40.4,48.0,54.6,59.1,67.1,68.0,71.2,72.4
"Males","Using instant messaging, i.e., exchanging messages",.,.,.,.,19.8,.,.,.,.,.,.,.,.,.,.,61.2,66.1,72.9,74.4,75.9,78.5
"Males","Finding information about goods or services",20.9,28.7,37.3,40.7,50.1,50.0,58.1,54.1,64.2,54.3,53.3,55.2,60.4,57.7,63.5,62.1,70.7,65.4,68.2,64.5,68.1
"Males","Reading online news sites/ newspapers/ news magazines",19.2,23.6,28.2,.,33.3,45.8,51.4,59.2,66.1,64.4,66.1,70.1,68.9,69.1,.,69.2,72.3,73.3,68.8,69.9,64.7
"Males","Seeking health-related information",.,3.8,7.4,7.2,16.7,18.2,20.2,24.5,.,24.7,.,27.9,28.0,31.2,4.1,.,40.9,40.4,32.8,39.5,37.3
"Males","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,1.2,.,2.5,.,3.7,.,4.1,.,12.4,.,17.0,.,20.9
"Males","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.3,.,31.4,.,30.7
"Males","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.5
"Males","Internet Banking via website or app",11.2,14.8,21.4,26.8,38.8,38.8,45.4,51.1,45.2,52.3,53.8,61.8,59.7,58.4,63.7,70.6,75.1,78.6,81.5,82.0,84.0
"Males","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",1.4,1.3,2.9,2.4,.,5.0,.,8.9,4.5,5.8,4.3,5.3,5.6,7.6,10.5,8.6,13.1,13.9,10.2,13.1,12.3
"Males","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,20.0,35.7,39.9,.,31.7,.,28.1,28.6,26.2,30.3,.,22.9,32.7,.,.,.,.
"Males","Participating in social networks",.,.,.,.,.,.,.,53.6,.,51.7,50.2,55.1,52.9,55.9,56.8,61.4,62.3,65.7,66.2,68.5,70.2
"Males","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,28.5,.,8.4,.,5.8,.,8.1,.,10.1,.,15.5,17.6,14.9,17.7
"Males","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,12.2,.,4.3,.,3.1,.,5.1,.,6.2,.,12.0,11.0,11.5,12.8
"Males","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,42.2,46.0,48.8,.,45.6,.,.
"Males","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.2,.,20.2,.,.
"Males","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,57.6,.,64.7,.,64.4,.,68.2
"Males","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.7
"Males","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.9,.,12.7,.,13.8,.,.
"Males","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.9,.,24.2,.,27.6,.,32.4
"Females","Using e-mail",24.4,33.9,40.0,45.8,48.9,54.5,55.6,.,64.0,66.1,65.0,69.1,69.9,71.6,72.5,73.0,78.3,80.2,79.6,82.1,81.5
"Females","Making calls (incl. video calls) over the Internet",2.3,7.8,12.1,16.1,21.8,30.7,34.3,40.3,44.5,43.7,44.4,45.5,41.8,43.1,55.3,58.9,63.6,71.9,74.3,77.4,78.6
"Females","Using instant messaging, i.e., exchanging messages",.,.,.,.,16.3,.,.,.,.,.,.,.,.,.,.,65.8,72.5,76.7,80.5,82.1,84.5
"Females","Finding information about goods or services",17.1,25.8,35.3,38.3,47.2,49.5,55.1,50.7,62.3,50.4,52.0,53.9,59.1,56.8,63.1,61.7,71.0,68.5,70.4,68.5,72.8
"Females","Reading online news sites/ newspapers/ news magazines",19.2,24.0,25.4,.,32.1,46.8,50.3,57.9,62.7,63.3,64.9,68.3,65.8,67.1,.,66.1,72.9,73.3,69.5,71.3,66.6
"Females","Seeking health-related information",.,10.4,15.4,14.6,30.3,38.0,43.3,49.5,.,47.8,.,52.8,48.4,52.7,12.3,.,56.7,62.8,51.1,64.4,58.1
"Females","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,3.1,.,6.2,.,9.4,.,12.3,.,22.6,.,28.1,.,36.4
"Females","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26.6,.,44.2,.,48.8
"Females","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.5
"Females","Internet Banking via website or app",12.2,16.3,22.8,28.8,38.5,45.2,49.3,55.0,48.9,57.0,59.2,66.4,61.6,63.7,68.7,72.5,77.5,81.5,82.7,85.0,85.5
"Females","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",0.7,1.0,1.4,1.2,.,2.6,.,7.3,3.3,3.7,3.3,5.7,5.4,7.9,8.7,9.1,11.4,12.9,10.2,13.3,13.0
"Females","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,18.7,32.2,37.2,.,32.4,.,29.6,27.7,30.9,32.9,.,25.7,36.2,.,.,.,.
"Females","Participating in social networks",.,.,.,.,.,.,.,56.4,.,56.8,54.8,59.5,60.8,63.4,65.6,67.6,71.4,73.1,75.1,77.1,77.3
"Females","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,25.9,.,8.0,.,4.7,.,6.4,.,10.8,.,14.9,17.0,15.5,20.1
"Females","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,12.0,.,4.2,.,3.8,.,4.8,.,6.3,.,15.4,11.7,15.7,18.2
"Females","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,37.1,42.0,41.5,.,41.2,.,.
"Females","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.8,.,12.1,.,.
"Females","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,52.0,.,59.7,.,61.7,.,65.7
"Females","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.4
"Females","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.8,.,9.4,.,10.6,.,.
"Females","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.5,.,21.9,.,23.3,.,32.1
