"Purposes for internet usage by individuals (per cent of total population within the corresponding group) by Breakdowns, Purposes and Time period"

"Breakdowns","Purposes","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Riga statistical region (Riga) (before 01.01.2024.)  ","Using e-mail",35.6,42.4,51.4,57.5,58.2,62.6,60.3,.,70.6,70.5,69.8,75.4,74.3,73.4,75.8,75.2,82.5,84.2,83.0,84.9,86.9
"Riga statistical region (Riga) (before 01.01.2024.)  ","Making calls (incl. video calls) over the Internet",4.6,10.0,20.0,22.4,27.1,38.1,43.7,44.9,50.5,48.1,52.8,56.4,45.6,45.4,57.5,62.9,67.3,77.8,76.5,79.1,79.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Using instant messaging, i.e., exchanging messages",.,.,.,.,22.4,.,.,.,.,.,.,.,.,.,.,67.9,75.1,80.2,82.0,82.6,86.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Finding information about goods or services",27.2,37.1,47.5,55.1,56.6,55.5,60.4,59.7,73.0,57.6,63.8,61.4,67.5,65.8,70.5,67.3,76.4,72.1,76.9,75.8,80.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Reading online news sites/ newspapers/ news magazines",26.2,28.7,33.8,.,38.0,52.2,56.6,61.9,70.0,67.0,68.8,76.3,71.8,74.4,.,70.7,78.4,77.9,74.3,74.9,73.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Seeking health-related information",.,11.2,16.3,16.4,27.7,34.3,35.2,43.3,.,41.2,.,47.7,46.3,48.4,10.6,53.8,57.4,59.6,53.5,61.7,61.4
"Riga statistical region (Riga) (before 01.01.2024.)  ","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,4.1,.,5.9,.,8.6,.,10.6,.,23.0,.,31.8,.,38.7
"Riga statistical region (Riga) (before 01.01.2024.)  ","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.4,.,48.9,.,48.9
"Riga statistical region (Riga) (before 01.01.2024.)  ","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.6,.,16.7,.,22.9
"Riga statistical region (Riga) (before 01.01.2024.)  ","Internet Banking via website or app",18.9,23.5,32.0,41.5,49.5,52.9,56.9,59.2,62.3,64.3,64.7,71.8,68.8,64.6,70.5,71.0,81.4,84.2,85.2,85.8,87.9
"Riga statistical region (Riga) (before 01.01.2024.)  ","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",1.7,2.1,2.9,1.4,.,6.1,.,10.4,6.4,5.7,4.3,8.1,6.5,6.8,10.4,9.7,10.8,12.0,11.4,16.1,16.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,19.9,36.0,44.4,.,37.2,.,33.3,33.9,31.5,35.4,.,.,.,.,.,.,.
"Riga statistical region (Riga) (before 01.01.2024.)  ","Participating in social networks",.,.,.,.,.,.,.,58.1,.,56.2,53.8,61.2,58.8,60.0,64.2,64.8,68.6,69.8,72.3,73.6,75.8
"Riga statistical region (Riga) (before 01.01.2024.)  ","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,35.3,.,11.7,.,6.6,.,6.9,.,.,.,.,13.5,.,19.2
"Riga statistical region (Riga) (before 01.01.2024.)  ","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,17.8,.,5.9,.,3.1,.,4.6,.,7.5,.,14.0,13.0,19.1,18.7
"Riga statistical region (Riga) (before 01.01.2024.)  ","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,44.4,46.4,.,.,52.9,.,.
"Riga statistical region (Riga) (before 01.01.2024.)  ","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.7,.,20.5,.,.
"Riga statistical region (Riga) (before 01.01.2024.)  ","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,60.1,.,66.7,.,75.7,.,81.6
"Riga statistical region (Riga) (before 01.01.2024.)  ","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.7
"Riga statistical region (Riga) (before 01.01.2024.)  ","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.1,.,13.8,.,18.8,.,.
"Riga statistical region (Riga) (before 01.01.2024.)  ","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.7,.,25.2,.,22.5,.,33.2
"Pieriga statistical region (before 01.01.2024.)","Using e-mail",26.7,43.3,44.2,51.4,48.6,57.8,56.9,.,65.0,66.1,66.2,74.3,73.0,71.0,70.4,70.9,76.8,77.0,76.7,81.2,79.8
"Pieriga statistical region (before 01.01.2024.)","Making calls (incl. video calls) over the Internet",3.2,8.7,13.9,20.7,25.0,35.3,32.8,46.6,43.9,45.8,39.3,38.2,39.8,40.7,52.7,54.7,60.2,65.9,67.9,77.2,74.5
"Pieriga statistical region (before 01.01.2024.)","Using instant messaging, i.e., exchanging messages",.,.,.,.,20.4,.,.,.,.,.,.,.,.,.,.,64.6,69.0,73.4,78.2,82.2,84.1
"Pieriga statistical region (before 01.01.2024.)","Finding information about goods or services",20.9,32.5,41.3,37.0,53.0,52.7,60.0,56.8,67.7,61.2,52.1,62.7,66.7,56.5,63.5,59.0,71.7,66.8,70.0,65.4,70.8
"Pieriga statistical region (before 01.01.2024.)","Reading online news sites/ newspapers/ news magazines",22.2,31.1,24.9,.,31.4,48.7,48.9,62.5,68.9,68.8,71.1,72.3,69.2,67.1,.,61.0,70.2,67.5,67.2,74.4,62.5
"Pieriga statistical region (before 01.01.2024.)","Seeking health-related information",.,9.2,13.7,4.9,23.1,27.9,32.8,42.1,.,40.1,.,43.1,41.3,40.1,8.5,42.4,45.7,42.8,34.4,52.6,40.1
"Pieriga statistical region (before 01.01.2024.)","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,1.0,.,3.1,.,7.9,.,8.5,.,16.9,.,18.2,.,27.2
"Pieriga statistical region (before 01.01.2024.)","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.2,.,30.3,.,37.5
"Pieriga statistical region (before 01.01.2024.)","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.3,.,11.5,.,14.3
"Pieriga statistical region (before 01.01.2024.)","Internet Banking via website or app",10.6,19.4,24.1,35.4,43.0,42.0,46.1,59.2,51.7,63.3,62.2,72.8,66.8,64.4,66.3,74.8,78.1,81.4,84.0,87.0,87.8
"Pieriga statistical region (before 01.01.2024.)","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",0.9,0.6,2.0,1.4,.,3.5,.,9.0,3.2,6.2,3.3,5.1,6.6,7.7,6.9,6.2,9.3,12.9,10.5,12.0,11.8
"Pieriga statistical region (before 01.01.2024.)","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,19.7,31.8,35.4,.,28.7,.,22.1,26.9,27.8,29.6,.,.,.,.,.,.,.
"Pieriga statistical region (before 01.01.2024.)","Participating in social networks",.,.,.,.,.,.,.,60.7,.,53.5,57.5,62.3,58.2,62.1,61.8,64.4,68.8,69.9,69.5,74.3,76.5
"Pieriga statistical region (before 01.01.2024.)","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,30.3,.,6.9,.,3.4,.,8.0,.,.,.,.,19.8,.,21.1
"Pieriga statistical region (before 01.01.2024.)","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,10.0,.,4.9,.,3.6,.,7.2,.,6.0,.,18.1,13.9,14.3,16.5
"Pieriga statistical region (before 01.01.2024.)","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,40.0,42.0,.,.,40.7,.,.
"Pieriga statistical region (before 01.01.2024.)","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.9,.,12.3,.,.
"Pieriga statistical region (before 01.01.2024.)","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,52.3,.,61.0,.,59.1,.,60.6
"Pieriga statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.3
