"Purposes for internet usage by individuals (per cent of total population within the corresponding group) by Breakdowns, Purposes and Time period"

"Breakdowns","Purposes","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Of total population","Using e-mail",24.6,33.1,40.5,46.4,49.5,53.7,55.1,.,63.2,64.9,63.9,68.6,68.8,69.5,70.0,71.9,75.9,79.2,78.0,81.5,80.3
"Of total population","Making calls (incl. video calls) over the Internet",2.9,8.3,14.0,18.1,24.3,31.5,35.0,41.3,44.7,44.7,43.2,43.6,40.6,41.8,51.9,56.8,61.5,69.6,71.3,74.5,75.6
"Of total population","Using instant messaging, i.e., exchanging messages",.,.,.,.,18.0,.,.,.,.,.,.,.,.,.,.,63.6,69.5,74.9,77.6,79.2,81.7
"Of total population","Finding information about goods or services",18.8,27.2,36.2,39.4,48.6,49.7,56.5,52.3,63.2,52.2,52.6,54.5,59.7,57.2,63.3,61.9,70.9,67.0,69.4,66.6,70.6
"Of total population","Reading online news sites/ newspapers/ news magazines",19.2,23.8,26.7,.,32.7,46.3,50.8,58.5,64.3,63.8,65.4,69.1,67.2,68.0,.,67.6,72.6,73.3,69.2,70.6,65.7
"Of total population","Seeking health-related information",.,7.4,11.6,11.2,23.9,28.7,32.4,37.8,.,37.3,.,41.4,38.9,42.6,36.9,.,49.2,52.2,42.4,52.6,48.2
"Of total population","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,2.2,.,4.5,.,6.7,.,8.4,.,17.8,.,22.8,.,29.1
"Of total population","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.8,.,38.1,.,40.2
"Of total population","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.1
"Of total population","Internet Banking via website or app",11.7,15.6,22.1,27.8,38.6,42.2,47.5,53.2,47.1,54.9,56.8,64.3,60.7,61.2,66.3,71.6,76.4,80.1,82.1,83.6,84.8
"Of total population","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",1.0,1.2,2.1,1.8,.,3.7,.,8.0,3.8,4.6,3.7,5.5,5.5,7.8,9.6,8.9,12.2,13.4,10.2,13.2,12.7
"Of total population","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,19.3,33.8,38.5,.,32.1,.,28.9,28.1,28.7,31.7,.,24.4,34.6,.,.,.,.
"Of total population","Participating in social networks",.,.,.,.,.,.,.,55.1,.,54.4,52.7,57.5,57.5,59.9,51.9,64.7,67.1,69.6,70.9,73.0,73.9
"Of total population","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,27.1,.,8.1,.,5.2,.,7.2,.,10.4,.,15.2,17.3,15.2,18.9
"Of total population","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,12.0,.,4.3,.,3.5,.,4.9,.,6.2,.,13.8,11.4,13.7,15.6
"Of total population","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,39.5,43.9,45.0,.,43.3,.,.
"Of total population","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.8,.,16.0,.,.
"Of total population","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,54.6,.,62.1,.,63.0,.,66.9
"Of total population","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.5
"Of total population","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.7,.,11.0,.,12.1,.,.
"Of total population","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.6,.,23.0,.,25.3,.,32.2
